Rank,Life,Name,Stars,Dependency1,Dependency2,Dependency3,Dependency4,DLC
Fledgling,Paladin,Whirling Skirmish,,,,,,
Fledgling,Paladin,Bug-B-Gone,,,,,,
Fledgling,Paladin,Expert Exterminator,,,,,,
Fledgling,Paladin,Bandit Bustin',,,,,,
Fledgling,Paladin,And Justice for Three!,,,,,,
Fledgling,Paladin,Baddest of the Bad,,,,,,
Fledgling,Paladin,Ten Apples a Day,,,,,,
Apprentice,Paladin,Shockingly Effective!,,,,,,
Apprentice,Paladin,Play Ball!,,,,,,
Apprentice,Paladin,Big-Time Ballers,,,,,,
Apprentice,Paladin,Slither Thither,,,,,,
Apprentice,Paladin,Serpentagram,,,,,,
Apprentice,Paladin,Mount Snakepeak,,,,,,
Apprentice,Paladin,Piece of Snake,,,,,,
Apprentice,Paladin,Cattersplat!,,,,,,
Apprentice,Paladin,Cave Cleaner,,,,,,
Apprentice,Paladin,Monkeying Around,,,,,,
Apprentice,Paladin,Ape Scrape,,,,,,
Apprentice,Paladin,Doshing through the Snow,,,,,,
Apprentice,Paladin,Iron Will,,,,,,
Apprentice,Paladin,Garden of Eatin',,,,,,
Adept,Paladin,Lava Bravo,,,,,,
Adept,Paladin,Flamebringer,,,,,,
Adept,Paladin,Zombie Zlap,,,,,,
Adept,Paladin,A Wave of Zombies,,,,,,
Adept,Paladin,Worm Your Way Out,,,,,,
Adept,Paladin,Worm Burner,,,,,,
Adept,Paladin,Zombie Aplomb,,,,,,
Adept,Paladin,Hot Rocks,,,,,,
Adept,Paladin,Salt of the Earth,,,,,,
Adept,Paladin,Axe Attack,,,,,,
Adept,Paladin,Nightmare!,,,,,,
Adept,Paladin,Orange you Glad?,,,,,,
Expert,Paladin,Tornado Warning,,,,,,
Expert,Paladin,Shining Blade,,,,,,
Expert,Paladin,"Ooh, Shiny!",,,,,,
Expert,Paladin,All That Glitters,,,,,,
Expert,Paladin,Bone to Pick,,,,,,
Expert,Paladin,Skull Crusher,,,,,,
Expert,Paladin,Wanted Man,,,,,,
Expert,Paladin,Sand Sheriff,,,,,,
Expert,Paladin,Gorilla Thrilla,,,,,,
Expert,Paladin,Gorilla Warfare,,,,,,
Expert,Paladin,Fairy Challenging,,,,,,
Expert,Paladin,Fairy-Tale Ending,,,,,,
Expert,Paladin,Star Maker,,,,,,
Expert,Paladin,Star Power,,,,,,
Expert,Paladin,Outlaw In,,,,,,
Expert,Paladin,Golem Gold,,,,,,
Expert,Paladin,The Serpent King,,,,,,
Expert,Paladin,Pearfect Pears,,,,,,
Master,Paladin,Bright Idea,,,,,,
Master,Paladin,Demonic Disaster,,,,,,
Master,Paladin,Bat-a-Tat-Tat,,,,,,
Master,Paladin,Lights Out,,,,,,
Master,Paladin,Sandy Bandages,,,,,,
Master,Paladin,That's a Wrap!,,,,,,
Master,Paladin,Banana Belt,,,,,,
Master,Paladin,Banana Beast,,,,,,
Master,Paladin,Debut Dragonslayer,,,,,,
Master,Paladin,Dinky Domination,,,,,,
Master,Paladin,Starting Small,,,,,,
Master,Paladin,Break A Few Eggs,,,,,,
Master,Paladin,Heavy Metal,,,,,,
Master,Paladin,Snake Harmer,,,,,,
Master,Paladin,Golden Opportunity,,,,,,
Master,Paladin,Silver Dragonslayer,,,,,,
Master,Paladin,Golden Glory,,,,,,
Master,Paladin,Just Peachy,,,,,,
Hero,Paladin,Defender Of Light,,,,,,
Hero,Paladin,The Dragon King,,,,,,
Creator,Paladin,Whisker Whacker,,,,,,DLC
Creator,Paladin,Stone Cutter,,,,,,DLC
Creator,Paladin,Rock Steady,,,,,,DLC
Creator,Paladin,Whirlwind Taur,,,,,,DLC
Creator,Paladin,Marine Master,,,,,,DLC
Creator,Paladin,Divine Dragon King,,,,,,DLC
Fledgling,Mercenary,Full Power!,,,,,,
Fledgling,Mercenary,A Monster... Carrot?,,,,,,
Fledgling,Mercenary,Slicin' and Dicin'!,,,,,,
Fledgling,Mercenary,Carrot King,,,,,,
Fledgling,Mercenary,Masked Menace,,,,,,
Fledgling,Mercenary,Back to your Roots,,,,,,
Apprentice,Mercenary,Shocking Strength!,,,,,,
Apprentice,Mercenary,Cut 'em Down!,,,,,,
Apprentice,Mercenary,Ginger Greetings,,,,,,
Apprentice,Mercenary,Ginger Slicer,,,,,,
Apprentice,Mercenary,The Giger Guru,,,,,,
Apprentice,Mercenary,Simply Radishing,,,,,,
Apprentice,Mercenary,Totally Rad...ish,,,,,,
Apprentice,Mercenary,Eradishcation,,,,,,
Apprentice,Mercenary,Tortortoise Trouble,,,,,,
Apprentice,Mercenary,Tortortoise Trauma,,,,,,
Apprentice,Mercenary,Tortortoise Tormentor,,,,,,
Apprentice,Mercenary,Crocodile Capers,,,,,,
