Region,Source,Bounty,Item,Rarity,Tags,Special Request,DLC,Notes
East Grassy Plains,White Woolie,,Sheep Fleece,30%,,,,
East Grassy Plains,White Woolie,,Mutton,30%,,,,
East Grassy Plains,Red Wolf,,Animal Hide,30%,,,,
East Grassy Plains,Coyote,,Animal Hide,30%,,,,
East Grassy Plains,Sandzard,,Little Tail,30%,,,,
East Grassy Plains,Carroty,,Antidote Berries,30%,,,,
East Grassy Plains,Carroty,,Carrot,5%,,,,
East Grassy Plains,Dragon Mustard,,Wakeup Berries,30%,Uncommon Spawn,,,It usually appears where the Carroty monsters are.
East Grassy Plains,Dragon Mustard,,Mustard,20%,Uncommon Spawn,,,It usually appears where the Carroty monsters are.
East Grassy Plains,Catterpillo,,Straw Thread,30%,,,,
East Grassy Plains,Worker Bee,,,,,,,
East Grassy Plains,Road Runner,,Egg,30%,,,,
East Grassy Plains,Bandit,,Spring Water,30%,,,,
East Grassy Plains,Bandit,,Mountain Spring Water,20%,,,,
East Grassy Plains,Bandit,,Sack of Copper,20%,,,,
East Grassy Plains,Bandit Leader,,Spring Water,30%,,,,
East Grassy Plains,Bandit Leader,,Mountain Spring Water,20%,,,,
East Grassy Plains,Bandit Leader,,Sack of Silver,20%,,,,
East Grassy Plains,Carrotella,,Rejuvenating Berries,30%,,,,
East Grassy Plains,Spook,,Magic Powder,30%,Night Only,,,
East Grassy Plains,Napdragon,,Dragon Scales,30%,,,,
East Grassy Plains,Napdragon,,Giant Scale,15%,,,,
East Grassy Plains,Ancient Napdragon,,Giant Scale,30%,Day Only,Paladin,DLC,
East Grassy Plains,Ancient Napdragon,,Dragon Meat,20%,Day Only,Paladin,DLC,
East Grassy Plains,Bandit Leader,Bandit Leader Bounty,Mountain Spring Water,45%,,,,
East Grassy Plains,Bandit Leader,Bandit Leader Bounty,Sack of Silver,45%,,,,
East Grassy Plains,Bandit Leader,Bandit Leader Bounty,Iron Hammer,10%,,,,
East Grassy Plains,Bandit Leader,Bandit Leader Bounty,300 Dosh,,,,,
East Grassy Plains,Carrotella,Carrotella Bounty,Carrot,90%,,,,
East Grassy Plains,Carrotella,Carrotella Bounty,Cape,10%,,,,
East Grassy Plains,Carrotella,Carrotella Bounty,200 Dosh,,,,,
East Grassy Plains,Spook,Spook Bounty,Magic Powder,90%,Night Only,,,
East Grassy Plains,Spook,Spook Bounty,Magic Upgrade Stone,10%,Night Only,,,
East Grassy Plains,Spook,Spook Bounty,250 Dosh,,Night Only,,,
East Grassy Plains,Napdragon,Napdragon Bounty,Paladin's Sword,70%,,,,
East Grassy Plains,Napdragon,Napdragon Bounty,Dragon Scales,25%,,,,
East Grassy Plains,Napdragon,Napdragon Bounty,Monarch Crown,5%,,,,
East Grassy Plains,Napdragon,Napdragon Bounty,5500 Dosh,,,,,
East Grassy Plains,Ancient Napdragon,Ancient Napdragon Bounty,Crimson Scales,100%,Day Only,Paladin,DLC,
East Grassy Plains,Ancient Napdragon,Ancient Napdragon Bounty,45000 Dosh,,Day Only,Paladin,DLC,
Haniwa Cave,Cobalt Frog,,Sleep Powder,30%,,,,
Haniwa Cave,Weedling,,,,,,,
Haniwa Cave,Skullblob,,Topaz,30%,Night Only,,,
Haniwa Cave,Skullblob,,Magic Upgrade Stone,20%,Night Only,,,
Haniwa Cave,Legendary Bandit,,Gold Shard,100%,,Blacksmith,DLC,
Haniwa Cave,Bandit Master,,Spring Water,30%,,Blacksmith,DLC,
Haniwa Cave,Bandit Master,,Sack of Silver,20%,,Blacksmith,DLC,
Haniwa Cave,Bandit Master,,Cherry Blossom Orb,10%,,Blacksmith,DLC,
Haniwa Cave,Veteran Bandit,,Rejuvenating Berries,30%,,Blacksmith,DLC,
Elderwood,Plains Bear,,Grassland Honey,30%,,,,
Elderwood,Plains Bear,,Plateau Honey,10%,,,,
Elderwood,Forest Panther,,Animal Claws,30%,,,,
Elderwood,Forest Panther,,Animal Fang,20%,,,,
Elderwood,Applejack Ape,,Castele Apple,30%,,,,
Elderwood,Applejack Ape,,Rainbow Apple,5%,,,,
Elderwood,Gingery,,Antistun Berries,30%,,,,
Elderwood,Gingery,,Ginger,20%,,,,
Elderwood,Mushface,,Forest Mushroom,30%,,,,
Elderwood,Timber Tinder,,Pine Nuts,20%,,,,
Elderwood,Hootwink,,Fine Feather,30%,Night Only,,,
Elderwood,Hootwink,,Moon Cluster,15%,Night Only,,,
Elderwood,Spirit of Earth,,Tool Upgrade Stone,15%,,,,
Elderwood,Spirit of Earth,,Earth Mana,5%,,,,
Elderwood,Earth Wraith,,Giant Fang,30%,Night Only,,,
Elderwood,Earth Wraith,Earth Wraith Bounty,Giant Fang,90%,Night Only,,,
Elderwood,Earth Wraith,Earth Wraith Bounty,Earth Robe,10%,Night Only,,,
Elderwood,Earth Wraith,Earth Wraith Bounty,3000 Dosh,,Night Only,,,
Elderwood,Plains Bear,Plains Bear Bounty,Grassland Honey,90%,,,,
Elderwood,Plains Bear,Plains Bear Bounty,Rainbow Trout,10%,,,,
Elderwood,Plains Bear,Plains Bear Bounty,300 Dosh,,,,,
West Grassy Plains,Black Woolie,,Sheep Fleece,30%,,,,
West Grassy Plains,Black Woolie,,Mutton,30%,,,,
West Grassy Plains,Bull,,Beef,30%,,,,
West Grassy Plains,Bull,,Extra Creamy Milk,5%,,,,
West Grassy Plains,Grass Serpent,,Snake Scales,30%,,,,
West Grassy Plains,Tortortoise,,Turtle Shell,30%,,,,
West Grassy Plains,Splash Frog,,Stun Powder,30%,,,,
West Grassy Plains,Field Frog,,Poison Powder,30%,,,,
West Grassy Plains,Radishy,,Daikon Radish,30%,,,,
West Grassy Plains,Beetle Baller,,,,,,,
West Grassy Plains,Bigbeak,,Giant Claws,30%,,,,
West Grassy Plains,Bigbeak,,Rainbow Feather,20%,,,,
West Grassy Plains,Bigbeak,,Bigbeak Egg,10%,,,,
West Grassy Plains,Killer Bunny,,Animal Droppings,30%,Night Only,,,
West Grassy Plains,Killer Bunny,,Criticaline,5%,Night Only,,,
West Grassy Plains,Radishella,,Rejuvenating Berries,30%,,,,
West Grassy Plains,Radishella,,Daikon Radish,5%,,,,
West Grassy Plains,Taurus,,Beef,30%,,,,
West Grassy Plains,Taurus,,Extra Creamy Milk,5%,,,,
West Grassy Plains,Mustardino,,Rejuvenating Berries,30%,,,,
West Grassy Plains,Mustardino,,Mustard,20%,,,,
West Grassy Plains,Mustardino,,Dragon Spice,10%,,,,
West Grassy Plains,Killer Bunny,Killer Bunny Bounty,Animal Droppings,60%,Night Only,,,
West Grassy Plains,Killer Bunny,Killer Bunny Bounty,Monster Dung,30%,Night Only,,,
West Grassy Plains,Killer Bunny,Killer Bunny Bounty,Criticaline,10%,Night Only,,,
West Grassy Plains,Killer Bunny,Killer Bunny Bounty,700 Dosh,,Night Only,,,
West Grassy Plains,Radishella,Radishella Bounty,Daikon Radish,90%,,,,
West Grassy Plains,Radishella,Radishella Bounty,Short Cape,10%,,,,
West Grassy Plains,Radishella,Radishella Bounty,600 Dosh,,,,,
West Grassy Plains,Taurus,Taurus Bounty,Beef,60%,,,,
West Grassy Plains,Taurus,Taurus Bounty,Extra Creamy Milk,30%,,,,
West Grassy Plains,Taurus,Taurus Bounty,Durable Charm,10%,,,,
West Grassy Plains,Taurus,Taurus Bounty,750 Dosh,,,,,
West Grassy Plains,Bigbeak,Bigbeak Bounty,Giant Claws,45%,,,,
West Grassy Plains,Bigbeak,Bigbeak Bounty,Rainbow Feather,50%,,,,
West Grassy Plains,Bigbeak,Bigbeak Bounty,Royal Saw,5%,,,,
West Grassy Plains,Bigbeak,Bigbeak Bounty,2700 Dosh,,,,,
Mt Snowpeak,Cashmeer,,Goat Fleece,30%,,,,
Mt Snowpeak,Buffalo,,Beef,30%,,,,
Mt Snowpeak,Rock Serpent,,Snake Scales,30%,,,,
Mt Snowpeak,Razorbeak,,Pine Nuts,30%,,,,
Mt Snowpeak,Razorbeak,,Bird Meat,20%,,,,
Mt Snowpeak,Razorbeak,,Eggs,20%,,,,
Mt Snowpeak,Black Panther,,Hard Claws,30%,,,,
Mt Snowpeak,Black Panther,,Thick Fang,20%,,,,
Mt Snowpeak,Fanged Ape,,Strong Fang,30%,,,,
Mt Snowpeak,Black Panther,Black Panther Bounty,Hard Claws,45%,,,,
Mt Snowpeak,Black Panther,Black Panther Bounty,Thick Fang,45%,,,,
Mt Snowpeak,Black Panther,Black Panther Bounty,Beastly Necklace,10%,,,,
Mt Snowpeak,Black Panther,Black Panther Bounty,450 Dosh,,,,,
Mt Snowpeak,Fanged Ape,Fanged Ape Bounty,Strong Fang,95%,,,,
Mt Snowpeak,Fanged Ape,Fanged Ape Bounty,Super Hammer,5%,,,,
Mt Snowpeak,Fanged Ape,Fanged Ape Bounty,900 Dosh,,,,,
Waterfall Cave,Licky Gecko,,Little Tail,30%,,,,
