Region,Source,Bounty,Item,Rarity,Rank,Special Request,DLC,Notes
West Castele,Castele Crucian,,Castele Crucian,Common,Fledgling,,,
West Castele,Castele Carp,,Castele Carp,Common,Fledgling,,,
West Castele,Ornamental Carp,,Ornamental Carp,Rare,Fledgling,,,
South Castele,Castele Crucian,,Castele Crucian,Common,Fledgling,,,
South Castele,Castele Carp,,Castele Carp,Common,Fledgling,,,
East Castele,Castele Crucian,,Castele Crucian,Common,Fledgling,,,
East Castele,Castele Carp,,Castele Carp,Common,Fledgling,,,
East Castele,Ornamental Carp,,Ornamental Carp,Rare,Fledgling,,,
East Grassy Plains,Plains Sweetfish,,Plains Sweetfish,Common,Fledgling,,,
East Grassy Plains,Castele Crucian,,Castele Crucian,Common,Fledgling,,,
East Grassy Plains,Castele Carp,,Castele Carp,Common,Fledgling,,,
East Grassy Plains,Elderwood Trout,,Elderwood Trout,Uncommon,Apprentice,,,
East Grassy Plains,Applefish,,Applefish,Rare,Fledgling,,,
Haniwa Cave,Castele Crucian,,Castele Crucian,Common,Fledgling,,,
Haniwa Cave,Catfish,,Catfish,Uncommon,Apprentice,,,
Elderwood,Elderwood Trout,,Elderwood Trout,Common,Apprentice,,,
Elderwood,Plains Sweetfish,,Plains Sweetfish,Common,Fledgling,,,
Elderwood,Rainbow Trout,,Rainbow Trout,Rare,Apprentice,,,
Elderwood,Forest Lordfish,,Forest Lordfish Moss,Very Common,Apprentice,,,
Elderwood,Forest Lordfish,Forest Lordfish Bounty,Forest Lordfish,100%,Apprentice,,,
Elderwood,Forest Lordfish,Forest Lordfish Bounty,600 Dosh,,Apprentice,,,
West Grassy Plains,Castele Crucian,,Castele Crucian,Common,Fledgling,,,
West Grassy Plains,Castele Carp,,Castele Carp,Common,Fledgling,,,
West Grassy Plains,Plains Sweetfish,,Plains Sweetfish,Common,Fledgling,,,
West Grassy Plains,Plains Eel,,Plains Eel,Rare,Apprentice,,,
Farley's Plantation,Plains Sweetfish,,Plains Sweetfish,Common,Fledgling,,,
Farley's Plantation,Plains Eel,,Plains Eel,Rare,Apprentice,,,
Mt Snowpeak,Plains Sweetfish,,Plains Sweetfish,Common,Fledgling,,,
Mt Snowpeak,Elderwood Trout,,Elderwood Trout,Common,Apprentice,,,
Lava Cave,Redgill,,Redgill,Common,Adept,,,
Lava Cave,Lava Prawn,,Lava Prawn,Common,Adept,,,
Lava Cave,Magmafish,,Magmafish,Rare,Adept,,,
Lava Cave,Volcanic Tuna,,Volcanic Fin,Very Common,Adept,,,
Lava Cave,Volcanic Tuna,Volcanic Tuna Bounty,Volcanic Tuna,100%,Adept,,,
Lava Cave,Volcanic Tuna,Volcanic Tuna Bounty,800 Dosh,,Adept,,,
Mt Snowpeak Summit,Smelt,,Smelt,Common,Expert,,,
Mt Snowpeak Summit,Icy Squid,,Icy Squid,Common,Expert,,,
Mt Snowpeak Summit,Frosty Fish,,Frosty Fish,Rare,Expert,,,
Mt Snowpeak Summit,Coldwater Tuna,,Icy Scales,Very Common,Expert,,,
Mt Snowpeak Summit,Coldwater Tuna,Coldwater Tuna Bounty,Coldwater Tuna,100%,Expert,,,
Mt Snowpeak Summit,Coldwater Tuna,Coldwater Tuna Bounty,,0%,Expert,,,
Mt Snowpeak Summit,Coldwater Tuna,Coldwater Tuna Bounty,1200 Dosh,,Expert,,,
Port Puerto Beach District,Puerto Bream,,Puerto Bream,Common,Adept,,,
