Region,Source,Item,Special Request,DLC,Notes
West Castele,Yellow Flower,Castelle Bloom,,,
West Castele,Foxtail Grass,Dandelion Puff,,,
West Castele,Green Sprout,Carrot,,,
West Castele,Green Sprout,Healweed,,,
West Castele,Green Sprout,Cureweed,,,
West Castele,Egg,Eggs,,,
West Castele,Hidden,Spring Water,,,Water tank near the farm.
South Castele,Yellow Flower,Castelle Bloom,,,
South Castele,Green Flower,Greenbell,,,
South Castele,Foxtail Grass,Dandelion Puff,,,
South Castele,Green Sprout,Carrot,,,
South Castele,Green Sprout,Healweed,,,
South Castele,Green Sprout,Cureweed,,,
South Castele,Grasshopper,Common Grasshopper,,,
South Castele,Butterfly,White Butterfly,,,
South Castele,Sparkly Spot,Sheep Fleece,,,
South Castele,Sparkly Spot,Spring Water,,,
South Castele,Apple Tree,Castele Apple,,,
South Castele,Beehive Tree,Grassland Honey,,,
East Castele,Foxtail Grass,Dandelion Puff,,,
East Castele,Green Sprout,Healweed,,,
East Castele,Green Sprout,Cureweed,,,
East Castele,Mushroom,Forest Mushroom,,,
East Castele,Sparkly Spot,Cows' Milk,,,
East Castele,Sparkly Spot,Castele Copper,,,
East Castele,Sparkly Spot,Oak Log,,,
East Grassy Plains,Foxtail Grass,Dandelion Puff,,,
East Grassy Plains,Red Flower,Redbell,,,
East Grassy Plains,Green Sprout,Healweed,,,
East Grassy Plains,Green Sprout,Cureweed,,,
East Grassy Plains,Large Egg,Big Egg,,,
East Grassy Plains,Butterfly,White Butterfly,,,
East Grassy Plains,Butterfly,Yellow Butterfly,,,
East Grassy Plains,Grasshopper,Common Grasshopper,,,
East Grassy Plains,Grasshopper,Royal Grasshopper,,,
East Grassy Plains,Apple Tree,Castele Apple,,,
East Grassy Plains,Beehive Tree,Grassland Honey,,,
East Grassy Plains,Campfire,Campfire Roast,,,
Haniwa Cave,Green Sprout,Lifeweed,,,
Haniwa Cave,Sparkly Spot,Bismuth Ingot,Blacksmith,DLC,
Elderwood,Mushrooon,Forest Mushroom,,,
Elderwood,Green Sprout,Healweed,,,
Elderwood,Green Sprout,Vitalweed,,,
Elderwood,Beehive Tree,Grassland Honey,,,
West Grassy Plains,Green Flower,Greenbell,,,
West Grassy Plains,Red Flower,Redbell,,,
West Grassy Plains,Foxtail Grass,Dandelion Puff,,,
West Grassy Plains,Green Sprout,Healweed,,,
West Grassy Plains,Green Sprout,Cureweed,,,
West Grassy Plains,Butterfly,White Butterfly,,,
West Grassy Plains,Beetle,Iron Stag Beetle,,,
West Grassy Plains,Beetle,Rhino Beetle,,,
West Grassy Plains,Grasshopper,Common Grasshopper,,,
West Grassy Plains,Grasshopper,Royal Grasshopper,,,
West Grassy Plains,Large Egg,Bigbeak Egg,,,
West Grassy Plains,Apple Tree,Castele Apple,,,
West Grassy Plains,Seashell,Little Shell,,,
West Grassy Plains,Seashell,Durable Shell,,,
West Grassy Plains,Campfire,Campfire Roast,,,
Farley's Plantation,Green Flower,Greenbell,,,
