Region,Source,Bounty,Item,Rarity,Rank,Special Request,DLC
West Castele,Copper Deposit,,Castele Copper,Very Common,Fledgling,,
West Castele,Copper Deposit,,Minty Ore,Common,Fledgling,,
East Castele,Copper Deposit,,Castele Copper,Very Common,Fledgling,,
East Castele,Copper Deposit,,Minty Ore,Common,Fledgling,,
East Grassy Plains,Copper Deposit,,Castele Copper,Very Common,Fledgling,,
East Grassy Plains,Copper Deposit,,Minty Ore,Common,Fledgling,,
Haniwa Cave,Copper Deposit,,Castele Copper,Very Common,Fledgling,,
Haniwa Cave,Copper Deposit,,Minty Ore,Common,Fledgling,,
Haniwa Cave,Copper Deposit,,Yellow Stone,Uncommon,Fledgling,,
Haniwa Cave,Copper Deposit,,Topaz,Very Rare,Fledgling,,
Haniwa Cave,Great Copper Deposit,,Castele Copper,Very Common,Fledgling,,
Haniwa Cave,Great Copper Deposit,,Minty Ore,Common,Fledgling,,
Haniwa Cave,Great Copper Deposit,,Yellow Stone,Uncommon,Fledgling,,
Haniwa Cave,Great Copper Deposit,,Topaz,Very Rare,Fledgling,,
Haniwa Cave,Superior Copper Deposit,,Yellow Stone,Very Common,Fledgling,,
Haniwa Cave,Superior Copper Deposit,,Castele Copper,Common,Fledgling,,
Haniwa Cave,Superior Copper Deposit,,Minty Ore,Uncommon,Fledgling,,
Haniwa Cave,Superior Copper Deposit,,Topaz,Very Rare,Fledgling,,
Haniwa Cave,Amazing Copper Deposit,,Yellow Stone,Very Common,Fledgling,,
Haniwa Cave,Amazing Copper Deposit,,Castele Copper,Common,Fledgling,,
Haniwa Cave,Amazing Copper Deposit,,Minty Ore,Uncommon,Fledgling,,
Haniwa Cave,Amazing Copper Deposit,,Topaz,Very Rare,Fledgling,,
Haniwa Cave,Great Copper Deposit,Sulphur,Yellow Stone,100%,Fledgling,,
Haniwa Cave,Great Copper Deposit,Sulphur,100 Dosh,,Fledgling,,
Haniwa Cave,Amazing Copper Deposit,Sparkling Topaz,Topaz,100%,Fledgling,,
Haniwa Cave,Amazing Copper Deposit,Sparkling Topaz,300 Dosh,,Fledgling,,
Waterfall Cave,Iron Ore Deposit,,Plains Iron,Very Common,Apprentice,,
Waterfall Cave,Iron Ore Deposit,,Minty Ore,Common,Apprentice,,
Waterfall Cave,Iron Ore Deposit,,Aquamarine,Very Rare,Apprentice,,
Waterfall Cave,Great Iron Ore Deposit,,Plains Iron,Very Common,Apprentice,,
Waterfall Cave,Great Iron Ore Deposit,,Minty Ore,Common,Apprentice,,
Waterfall Cave,Great Iron Ore Deposit,,Aquamarine,Very Rare,Apprentice,,
Waterfall Cave,Superior Blue Ore Deposit,,Blue Stone,Very Common,Apprentice,,
Waterfall Cave,Superior Blue Ore Deposit,,Plains Iron,Common,Apprentice,,
Waterfall Cave,Superior Blue Ore Deposit,,Minty Ore,Uncommon,Apprentice,,
Waterfall Cave,Superior Blue Ore Deposit,,Aquamarine,Very Rare,Apprentice,,
