Life,Rank,Group,Item,High Level
Alchemist,Fledgling,Medicine,HP Potion,
Alchemist,Fledgling,Medicine,SP Potion,
Alchemist,Fledgling,Medicine,Poison Antidote,
Alchemist,Fledgling,Medicine,Stun Antidote,
Alchemist,Fledgling,Medicine,Sleep Antidote,
Alchemist,Apprentice,Medicine,Life Cure,true
Alchemist,Apprentice,Medicine,Hi-HP Potion,
Alchemist,Apprentice,Medicine,Hi-SP Potion,
Alchemist,Adept,Medicine,Healing Powder,
Alchemist,Adept,Medicine,Energy Powder,
Alchemist,Adept,Medicine,Power Aid,
Alchemist,Adept,Medicine,Resistance Aid,
Alchemist,Adept,Medicine,Magic Aid,
Alchemist,Adept,Medicine,Panacea,true
Alchemist,Expert,Medicine,Maxheal Dust,
Alchemist,Expert,Medicine,Hi-Energy Powder,
Alchemist,Expert,Medicine,Power Spray,
Alchemist,Expert,Medicine,Resistance Spray,
Alchemist,Expert,Medicine,Magic Spray,
Alchemist,Master,Medicine,Mega Aid,true
Alchemist,Master,Medicine,Charge Up Aid,true
Alchemist,Master,Medicine,Crit Aid,true
Alchemist,Master,Medicine,Daredevil Aid,true
Alchemist,Master,Medicine,Elixir,true
Alchemist,Master,Medicine,Spraylixir,true
Alchemist,Demi-Creator,Medicine,Angelic Remedy,
Alchemist,Demi-Creator,Medicine,Godly Spray,true
Alchemist,Demi-Creator,Medicine,Miracle,
Alchemist,Demi-Creator,Medicine,Luck Potion,
Alchemist,Demi-Creator,Medicine,Berserk Potion,
Alchemist,Creator,Medicine,Intelligence Candy,true
Alchemist,Creator,Medicine,Focus Candy,true
Alchemist,Creator,Medicine,Luck Candy,true
Alchemist,Fledgling,Explosive,Mini Bomb,
Alchemist,Apprentice,Explosive,Sleep Bomb,
Alchemist,Adept,Explosive,Poison Bomb,
Alchemist,Adept,Explosive,Stun Bomb,
Alchemist,Adept,Explosive,Medium Bomb,true
Alchemist,Master,Explosive,Love Bomb,true
Alchemist,Hero,Explosive,Great Bomb,true
Alchemist,Demi-Creator,Explosive,Divine Bomb,
Alchemist,Demi-Creator,Explosive,Demonic Bomb,
Alchemist,Fledgling,Tool,Science Flask,true
Alchemist,Apprentice,Tool,Inventor's Flask,true
Alchemist,Adept,Tool,Bubbling Flask,true
Alchemist,Expert,Tool,Wisdom Flask,true
Alchemist,Master,Tool,Sol Flask,true
Alchemist,Master,Tool,Icicle Flask,true
Alchemist,Master,Tool,Bolt Flask,true
Alchemist,Hero,Tool,Forbidden Flask,true
Alchemist,Demi-Creator,Tool,Flask of Dawn,
Alchemist,Demi-Creator,Tool,Big Bang Flask,true
Alchemist,Creator,Tool,Yggdrasil Flask,true
Alchemist,Creator,Tool,Miracle Flask,true
Alchemist,Fledgling,Accessory,Charm,
Alchemist,Fledgling,Accessory,Claw Necklace,
Alchemist,Fledgling,Accessory,Round Specs,
Alchemist,Apprentice,Accessory,Savage Necklace,
Alchemist,Apprentice,Accessory,Topaz Ring,true
Alchemist,Apprentice,Accessory,Aquamarine Ring,true
Alchemist,Adept,Accessory,Durable Charm,
Alchemist,Adept,Accessory,Coral Necklace,
Alchemist,Adept,Accessory,Marine Necklace,
Alchemist,Adept,Accessory,Stylish Specs,
Alchemist,Adept,Accessory,Diving Mask,
Alchemist,Adept,Accessory,Flower Hairclip,
Alchemist,Adept,Accessory,Amethyst Ring,true
Alchemist,Expert,Accessory,Reinforced Charm,
Alchemist,Expert,Accessory,Beastly Necklace,true
Alchemist,Expert,Accessory,Sea Necklace,true
Alchemist,Expert,Accessory,Classy Monocle,true
Alchemist,Expert,Accessory,Black-Rimmed Glasses,
Alchemist,Expert,Accessory,Ruby Ring,true
Alchemist,Expert,Accessory,Sapphire Ring,true
Alchemist,Expert,Accessory,Emerald Ring,true
Alchemist,Master,Accessory,Red-Rimmed Glasses,
Alchemist,Master,Accessory,Wild Side Shades,true
Alchemist,Master,Accessory,Mini Specs,
Alchemist,Master,Accessory,Black Onyx Ring,true
Alchemist,Master,Accessory,Diamond Ring,true
Alchemist,Hero,Accessory,Philosopher's Stone,true
Alchemist,Demi-Creator,Accessory,Tidal Necklace,
