Region,Issuer,#,Name,Rank,Life1,Life2,Life3,Requires,DLC
Castele Square,Gramps,1,"A Big Egg for Gramps",,,,,,
Castele Square,Gramps,2,"Old Man's Mustard",,,,,{port_puerto_access()},
Castele Square,Gramps,3,"Sweetfish Bones",Fledgling,Angler,,,{port_puerto_access()} and {has_license(Fledgling Angler)},
Castele Square,Helmut,1,"Sleeping on Duty",,,,,,
Castele Square,Helmut,2,"Sleeping on Duty Again",Fledgling,Alchemist,,,{has_license(Fledgling Alchemist)},
Castele Square,Helmut,3,"Still Sleeping on Duty",Fledgling,Alchemist,,,{has_license(Fledgling Alchemist)} and ({al_maajik_access()} or {has_license(Fledgling Miner)}),
Castele Square,Rooftop Kitty,1,"Crucial Request",,,,,,
Castele Square,Rooftop Kitty,2,"Trout for Kitty",,,,,{better_castele_shopping()} or {has_license(Fledgling Angler)} or {elderwood_village_access()},
Castele Square,Rooftop Kitty,3,"Catfish for Kitty",Fledgling,Angler,,,{has_license(Fledgling Angler)},
Castele Square,Prospero,1,"Drive Away the Bandits",,,,,{can_fight()},
Castele Square,Prospero,2,"Bring Down the Bandit Leaders",,,,,{can_fight()},
Castele Square,Prospero,3,"Justice Will Prevail",,,,,{can_fight()},
Castele Square,Postonby,1,"Postbox of Love",Expert,Angler,,,{al_maajik_access()} and {has_license(Expert Angler)},
Castele Square,Postonby,2,"Love Soup",Expert,Angler,Cook,,{al_maajik_access()} and {has_license(Expert Angler)} and {has_license(Expert Cook)},
Castele Square,Postonby,3,"Explosive Love",Master,Angler,Cook,Alchemist,{al_maajik_access()} and {has_license(Expert Angler)} and {has_license(Expert Cook)} and {has_license(Master Alchemist)},
Castele Square,Paige,1,"Scholarly Curiosity 1",,,,,{al_maajik_access()},
Castele Square,Paige,2,"Scholarly Curiosity 2",,,,,{al_maajik_access()},
Castele Square,Paige,3,"Scholarly Curiosity 3",,,,,{al_maajik_access()},
Castele Square,Paige,4,"Scholarly Curiosity 4",,,,,{trials_access()},DLC
Castele Square,Fernando,1,"Castelian Duds 1",Apprentice,Tailor,,,{has_license(Apprentice Tailor)},
Castele Square,Fernando,2,"Castelian Duds 2",Apprentice,Tailor,,,{has_license(Apprentice Tailor)},
Castele Square,Fernando,3,"Castelian Duds 3",Apprentice,Tailor,,,{has_license(Apprentice Tailor)},
Castele Square,Henrietta,1,"Chickie Treats",,,,,,
Castele Square,Henrietta,2,"More Chickie Treats",,,,,{snowpeak_access()},
Castele Square,Henrietta,3,"Don't Cry Henrietta",,,,,{port_puerto_access()},
Castele Square,Henrietta,4,"Henrietta's Dinner Party",Creator,Cook,,,{origin_island_access()} and {has_license(Creator Cook)},DLC
Castele Square,Celine,1,"Castelian Veggies, Please",Apprentice,Cook,,,{snowpeak_access()} and {has_license(Apprentice Cook)},
Castele Square,Celine,2,"Castelian Burger, Please",Apprentice,Cook,,,{snowpeak_access()} and {has_license(Apprentice Cook)} and ({al_maajik_access()} or {better_castele_shopping()}),
Castele Square,Celine,3,"Castelian Fish, Please",Adept,Angler,Cook,,{snowpeak_access()} and {has_license(Apprentice Cook)} and {has_license(Adept Angler)} and ({al_maajik_access()} or {better_castele_shopping()}),
Castele Square,Timmy,1,"The Bug Boy 1",,,,,,
Castele Square,Timmy,2,"The Bug Boy 2",,,,,{west_grassy_plains_access()},
Castele Square,Timmy,3,"The Bug Boy 3",,,,,{west_grassy_plains_access()},
Castele Square,Timmy,4,"The Bug Boy 4",,,,,{origin_island_access()},DLC
Castele Square,Samantha,1,"Beret Nice",Fledgling,Tailor,,,{has_license(Fledgling Tailor)},
Castele Square,Samantha,2,"Flirty Skirt",Apprentice,Tailor,,,{port_puerto_access()} and {has_license(Apprentice Tailor)},
Castele Square,Samantha,3,"Sassy Shoes",Adept,Tailor,,,{port_puerto_access()} and {has_license(Adept Tailor)},
Castele Square,Tilda,1,"A New Chair, Please",Fledgling,Carpenter,,,{has_license(Fledgling Carpenter)},
Castele Square,Tilda,2,"A New Dining Table, Please",Fledgling,Carpenter,,,{has_license(Fledgling Carpenter)},
Castele Square,Tilda,3,"A New Bed, Please",Fledgling,Carpenter,,,{has_license(Fledgling Carpenter)} and ({better_castele_shopping()} or {has_license(Fledgling Woodcutter)}),
Castele Square,Marshal,1,"Shiny Golden Sword",Expert,Blacksmith,,,{al_maajik_access()} and {has_license(Expert Blacksmith)},
