Group,Region,Shop,Item Name,Dosh,Requirement
Castele,Castele Shopping District,Castele Fishmonger,Castele Crucian,60,
Castele,Castele Shopping District,Castele Fishmonger,Plains Sweetfish,80,
Castele,Castele Shopping District,Castele Fishmonger,Elderwood Trout,120,Bliss
Castele,Castele Shopping District,Castele Fishmonger,Castele Carp,120,
Castele,Castele Shopping District,Castele Fishmonger,Applefish,1000,Bliss
Castele,Castele Shopping District,Castele Butcher,Mutton,40,
Castele,Castele Shopping District,Castele Butcher,Bird Meat,60,
Castele,Castele Shopping District,Castele Butcher,Beef,100,Bliss
Castele,Castele Shopping District,Castele Butcher,Eggs,20,
Castele,Castele Shopping District,Castele Butcher,Big Egg,600,Bliss
Castele,Castele Shopping District,Castele Butcher,Cows' Milk,20,
Castele,Castele Shopping District,Castele Butcher,Extra Creamy Milk,60,Bliss
Castele,Castele Shopping District,Castele Greengrocer,Carrot,20,
Castele,Castele Shopping District,Castele Greengrocer,Dalkon Radish,40,
Castele,Castele Shopping District,Castele Greengrocer,Potato,30,
Castele,Castele Shopping District,Castele Greengrocer,Onion,40,
Castele,Castele Shopping District,Castele Greengrocer,Castele Apple,20,
Castele,Castele Shopping District,Castele Greengrocer,Grassy Plains Barley,20,
Castele,Castele Shopping District,Castele Greengrocer,Port Rice,20,Bliss
Castele,Castele Shopping District,Castele Greengrocer,Maajik Beans,20,Bliss
Castele,Castele Shopping District,Alfredo's Bistro,Carrot Soup,60,
Castele,Castele Shopping District,Alfredo's Bistro,Boiled Veg,400,Bliss
Castele,Castele Shopping District,Alfredo's Bistro,Fluffy Omelette,200,
Castele,Castele Shopping District,Alfredo's Bistro,Giant Fried Egg,1000,Bliss
Castele,Castele Shopping District,Alfredo's Bistro,Well-Done Burger,400,
Castele,Castele Shopping District,Alfredo's Bistro,Juicy Burger,1200,Bliss
Castele,Castele Shopping District,Alfredo's Bistro,Steak,500,
Castele,Castele Shopping District,Alfredo's Bistro,Dreamy Steak,3000,Bliss
Castele,Castele Shopping District,Alfredo's Bistro,Winter Stew,500,
Castele,Castele Shopping District,Alfredo's Bistro,Grilled Crucian,150,
Castele,Castele Shopping District,Alfredo's Bistro,Rustic Trout,400,Bliss
Castele,Castele Shopping District,Alfredo's Bistro,Salt,20,
Castele,Castele Shopping District,Alfredo's Bistro,Sugar,20,
Castele,Castele Shopping District,Alfredo's Bistro,Butter,50,Bliss
Castele,Castele Shopping District,Alfredo's Bistro,Pretend Frying Pan,400,
Castele,Castele Shopping District,Alfredo's Bistro,Bronze Frying Pan,840,
Castele,Castele Shopping District,Alfredo's Bistro,Iron Frying Pan,1520,Bliss
Castele,Castele Shopping District,The Crown,Barley Juice,600,
Castele,Castele Shopping District,The Crown,Roast Mutton,240,
Castele,Castele Shopping District,The Crown,Juicy Mutton,560,Bliss
Castele,Castele Shopping District,The Crown,Tasty Kebab,720,
Castele,Castele Shopping District,The Crown,Bandit Steak,1400,Bliss
Castele,Castele Shopping District,The Crown,Boiled Egg,60,
Castele,Castele Square,Castele Fine Arms,Novice's Dagger,200,
Castele,Castele Square,Castele Fine Arms,Bronze Dagger,580,
Castele,Castele Square,Castele Fine Arms,Iron Dagger,640,Bliss
Castele,Castele Square,Castele Fine Arms,Squire's Sword,400,
Castele,Castele Square,Castele Fine Arms,Bronze Sword,800,
Castele,Castele Square,Castele Fine Arms,Iron Sword,1600,Bliss
Castele,Castele Square,Castele Fine Arms,Novice's Claymore,400,
