Region,Source,Bounty,Item,Rarity,Rank,Special Request,DLC
West Castele,Oak Tree,,Oak Log,Very Common,Fledgling,,
West Castele,Oak Tree,,Antidote Berries,Common,Fledgling,,
West Castele,Oak Tree,,Elder Oak Log,Very Rare,Fledgling,,
East Castele,Oak Tree,,Oak Log,Very Common,Fledgling,,
East Castele,Oak Tree,,Antidote Berries,Common,Fledgling,,
East Castele,Oak Tree,,Elder Oak Log,Very Rare,Fledgling,,
East Grassy Plains,Oak Tree,,Oak Log,Very Common,Fledgling,,
East Grassy Plains,Oak Tree,,Antidote Berries,Common,Fledgling,,
East Grassy Plains,Oak Tree,,Elder Oak Log,Very Rare,Fledgling,,
Elderwood,Oak Tree,,Oak Log,Very Common,Fledgling,,
Elderwood,Oak Tree,,Antidote Berries,Common,Fledgling,,
Elderwood,Oak Tree,,Elder Oak Log,Very Rare,Fledgling,,
Elderwood,Great Oak Tree,,Oak Log,Very Common,Fledgling,,
Elderwood,Great Oak Tree,,Antidote Berries,Common,Fledgling,,
Elderwood,Great Oak Tree,,Elder Oak Log,Very Rare,Fledgling,,
Elderwood,Great Oak Tree,Great Oak Tree Bounty,Elder Oak Log,100%,Fledgling,,
Elderwood,Great Oak Tree,Great Oak Tree Bounty,100 Dosh,,Fledgling,,
Elderwood,Great Elderwood Tree,Great Elderwood Tree Bounty,Giant Tree Nuts,95%,Adept,,
Elderwood,Great Elderwood Tree,Great Elderwood Tree Bounty,Sparkle Axe,5%,Adept,,
Elderwood,Great Elderwood Tree,Great Elderwood Tree Bounty,1000 Dosh,,Adept,,
West Grassy Plains,Pine,,Pine Log,Very Common,Apprentice,,
West Grassy Plains,Pine,,Pine Nuts,Common,Apprentice,,
West Grassy Plains,Pine,,Elder Pine Log,Very Rare,Apprentice,,
West Grassy Plains,Sacred Earth Tree,,Earth Log,Very Common,Apprentice,,
West Grassy Plains,Sacred Earth Tree,,Earth Mana +,Uncommon,Apprentice,,
West Grassy Plains,Sacred Earth Tree,Earth Tree,Earth Log,90%,Apprentice,,
West Grassy Plains,Sacred Earth Tree,Earth Tree,Earth Mana +,10%,Apprentice,,
West Grassy Plains,Sacred Earth Tree,Earth Tree,1500 Dosh,,Apprentice,,
West Grassy Plains,Millennial Tree,Millennial Tree Bounty,Millennial Branch,100%,Creator,Woodcutter,DLC
West Grassy Plains,Millennial Tree,Millennial Tree Bounty,5000 Dosh,,Creator,Woodcutter,DLC
Farley's Plantation,Pine,,Pine Log,Very Common,Apprentice,,
Farley's Plantation,Pine,,Pine Nuts,Common,Apprentice,,
Farley's Plantation,Pine,,Elder Pine Log,Very Rare,Apprentice,,
Mt Snowpeak,Pine,,Pine Log,Very Common,Apprentice,,
Mt Snowpeak,Pine,,Pine Nuts,Common,Apprentice,,
Mt Snowpeak,Pine,,Elder Pine Log,Very Rare,Apprentice,,
Mt Snowpeak,Great Pine,,Pine Log,Very Common,Apprentice,,
Mt Snowpeak,Great Pine,,Pine Nuts,Common,Apprentice,,
Mt Snowpeak,Great Pine,,Elder Pine Log,Very Rare,Apprentice,,
Mt Snowpeak,Great Pine,Great Pine Bounty,Elder Pine Log,100%,Apprentice,,
Mt Snowpeak,Great Pine,Great Pine Bounty,150 Dosh,,Apprentice,,
Lava Cave,Sacred Fire Tree,,Fire Log,Very Common,Expert,,
Lava Cave,Sacred Fire Tree,,Fire Mana +,Uncommon,Expert,,
Lava Cave,Sacred Fire Tree,Fire Tree,Fire Log,90%,Expert,,
Lava Cave,Sacred Fire Tree,Fire Tree,Fire Mana +,10%,Expert,,
Lava Cave,Sacred Fire Tree,Fire Tree,1500 Dosh,,Expert,,
Mt Snowpeak Summit,White Fir,,Fir Log,Very Common,Expert,,
Mt Snowpeak Summit,White Fir,,Rejuvenating Berries,Common,Expert,,
Mt Snowpeak Summit,White Fir,,Elder Fir Log,Very Rare,Expert,,
Mt Snowpeak Summit,Great White Fir,,Fir Log,Very Common,Expert,,
Mt Snowpeak Summit,Great White Fir,,Rejuvenating Berries,Common,Expert,,
Mt Snowpeak Summit,Great White Fir,,Elder Fir Log,Very Rare,Expert,,
Mt Snowpeak Summit,Great White Fir,Great White Fir Bounty,Elder Fir Log,90%,Expert,,
Mt Snowpeak Summit,Great White Fir,Great White Fir Bounty,Focus Gem +,10%,Expert,,
Mt Snowpeak Summit,Great White Fir,Great White Fir Bounty,300 Dosh,,Expert,,
Port Puerto Beach District,Palm Tree,,Palm Log,Very Common,Adept,,
Port Puerto Beach District,Palm Tree,,Palm Nuts,Common,Adept,,
Port Puerto Beach District,Palm Tree,,Elder Palm Log,Very Rare,Adept,,
Tortuga Archipelago,Palm Tree,,Palm Log,Very Common,Adept,,
Tortuga Archipelago,Palm Tree,,Palm Nuts,Common,Adept,,
Tortuga Archipelago,Palm Tree,,Elder Palm Log,Very Rare,Adept,,
Tortuga Archipelago,Great Palm Tree,,Palm Log,Very Common,Adept,,
Tortuga Archipelago,Great Palm Tree,,Palm Nuts,Common,Adept,,
Tortuga Archipelago,Great Palm Tree,,Elder Palm Log,Very Rare,Adept,,
Tortuga Archipelago,Sacred Water Tree,,Water Log,Very Common,Expert,,
Tortuga Archipelago,Sacred Water Tree,,Water Mana +,Uncommon,Expert,,
Tortuga Archipelago,Great Palm Tree,Great Palm Tree Bounty,Elder Palm Log,100%,Adept,,
Tortuga Archipelago,Great Palm Tree,Great Palm Tree Bounty,200 Dosh,,Adept,,
Tortuga Archipelago,Sacred Water Tree,Water Tree,Water Log,90%,Expert,,
Tortuga Archipelago,Sacred Water Tree,Water Tree,Water Mana +,10%,Expert,,
Tortuga Archipelago,Sacred Water Tree,Water Tree,1500 Dosh,,Expert,,
Deepsea Cave,Mangrove,,Mangrove Log,Very Common,Master,,
Deepsea Cave,Mangrove,,Elder Mangrove Log,Very Rare,Master,,
Deepsea Cave,Great Mangrove,,Mangrove Log,Very Common,Master,,
Deepsea Cave,Great Mangrove,,Elder Mangrove Log,Very Rare,Master,,
Deepsea Cave,Great Mangrove Tree,Great Mangrove Tree Bounty,Elder Mangrove Log,90%,Master,,
Deepsea Cave,Great Mangrove Tree,Great Mangrove Tree Bounty,Guardine +,10%,Master,,
Deepsea Cave,Great Mangrove Tree,Great Mangrove Tree Bounty,300 Dosh,,Master,,
Al Maajik Outskirts,Suger Tree,,Sugar Log,Very Common,Adept,,
Al Maajik Outskirts,Suger Tree,,Sugar Nuts,Common,Adept,,
Al Maajik Outskirts,Suger Tree,,Elder Sugar Log,Very Rare,Adept,,
Aridian Desert,Sugar Tree,,Sugar Log,Very Common,Adept,,
Aridian Desert,Sugar Tree,,Sugar Nuts,Common,Adept,,
Aridian Desert,Sugar Tree,,Elder Sugar Log,Very Rare,Adept,,
Aridian Desert,Great Sugar Tree,,Sugar Log,Very Common,Adept,,
Aridian Desert,Great Sugar Tree,,Sugar Nuts,Common,Adept,,
Aridian Desert,Great Sugar Tree,,Elder Sugar Log,Very Rare,Adept,,
Aridian Desert,Sacred Wind Tree,,Wind Log,Very Common,Master,,
Aridian Desert,Sacred Wind Tree,,Wind Mana +,Uncommon,Master,,
Aridian Desert,Great Sugar Tree,Great Sugar Tree Bounty,Elder Sugar Log,100%,Adept,,
Aridian Desert,Great Sugar Tree,Great Sugar Tree Bounty,400 Dosh,,Adept,,
Aridian Desert,Sacred Wind Tree,Wind Tree,Wind Log,90%,Master,,
Aridian Desert,Sacred Wind Tree,Wind Tree,Wind Mana +,10%,Master,,
Aridian Desert,Sacred Wind Tree,Wind Tree,1500 Dosh,,Master,,
Subterranean Lake,Desert Tree,,Desert Log,Very Common,Expert,,
Subterranean Lake,Desert Tree,,Antistun Berries,Common,Expert,,
Subterranean Lake,Desert Tree,,Elder Desert Log,Very Rare,Expert,,
Subterranean Lake,Great Desert Tree,,Desert Log,Very Common,Expert,,
Subterranean Lake,Great Desert Tree,,Antistun Berries,Common,Expert,,
Subterranean Lake,Great Desert Tree,,Elder Desert Log,Very Rare,Expert,,
Subterranean Lake,Great Desert Tree,Great Desert Tree Bounty,Elder Desert Log,90%,Expert,,
Subterranean Lake,Great Desert Tree,Great Desert Tree Bounty,Focus Gem +,10%,Expert,,
Subterranean Lake,Great Desert Tree,Great Desert Tree Bounty,400 Dosh,,Expert,,
Cacto Cove,Starry Tree,,Starry Log,Very Common,Master,,
Cacto Cove,Starry Tree,,Rejuvenating Berries,Common,Master,,
Cacto Cove,Starry Tree,,Elder Starry Log,Very Rare,Master,,
Cacto Cove,Great Starry Tree,,Starry Log,Very Common,Master,,
Cacto Cove,Great Starry Tree,,Rejuvenating Berries,Common,Master,,
Cacto Cove,Great Starry Tree,,Elder Starry Log,Very Rare,Master,,
Cacto Cove,Great Starry Tree,Great Starry Tree Bounty,Elder Starry Log,90%,Master,,
Cacto Cove,Great Starry Tree,Great Starry Tree Bounty,Qualitine +,10%,Master,,
Cacto Cove,Great Starry Tree,Great Starry Tree Bounty,1000 Dosh,,Master,,
Deep Elderwood,Blue Oak Tree,,Oak Log,Very Common,Fledgling,,
Deep Elderwood,Blue Oak Tree,,Antidote Berries,Common,Fledgling,,
Deep Elderwood,Blue Oak Tree,,Elder Oak Log,Very Rare,Fledgling,,
Deep Elderwood,Great Blue Oak Tree,,Oak Log,Very Common,Fledgling,,
Deep Elderwood,Great Blue Oak Tree,,Antidote Berries,Common,Fledgling,,
Deep Elderwood,Great Blue Oak Tree,,Elder Oak Log,Very Rare,Fledgling,,
Deep Elderwood,Sinister Tree,,Rejuvenating Berries,Common,Master,,
Deep Elderwood,Sinister Tree,,Sinister Branch,Rare,Master,,
Deep Elderwood,Sinister Tree,Sinister Tree Bounty,Sinister Branch,95%,Master,,
Deep Elderwood,Sinister Tree,Sinister Tree Bounty,Giant's Axe,5%,Master,,
Deep Elderwood,Sinister Tree,Sinister Tree Bounty,2000 Dosh,,Master,,
Central Levitania,Skytree,,Skytree Log,Very Common,Hero,,
Central Levitania,Skytree,,Rejuvenating Berries,Common,Hero,,
Central Levitania,Skytree,,Elder Skytree Log,Very Rare,Hero,,
West Levitania,Skytree,,Skytree Log,Very Common,Hero,,
West Levitania,Skytree,,Rejuvenating Berries,Common,Hero,,
West Levitania,Skytree,,Elder Skytree Log,Very Rare,Hero,,
West Levitania,Great Skytree,,Skytree Log,Very Common,Hero,,
West Levitania,Great Skytree,,Rejuvenating Berries,Common,Hero,,
West Levitania,Great Skytree,,Elder Skytree Log,Very Rare,Hero,,
West Levitania,Celestial Tree,,Rejuvenating Berries,Very Common,Hero,,
West Levitania,Celestial Tree,,Celestial Leaf,Rare,Hero,,
West Levitania,Great Skytree,Great Skytree Bounty,Elder Skytree Log,90%,Hero,,
West Levitania,Great Skytree,Great Skytree Bounty,Criticaline +,10%,Hero,,
